time,open,high,low,close,tick_volume,spread,real_volume,change
2023-07-24 18:00:00,0.67473,0.67478,0.67443,0.67465,674.0,16.0,0.0,-0.11115557334045151
2023-07-24 18:05:00,0.67466,0.67479,0.67437,0.67468,408.0,15.0,0.0,-0.013338668800858785
2023-07-24 18:10:00,0.67468,0.67512,0.67461,0.67489,435.0,17.0,0.0,-0.002964148622414892
2023-07-24 18:15:00,0.67489,0.67506,0.67457,0.67465,375.0,13.0,0.0,0.019266966045672115
2023-07-24 18:20:00,0.67464,0.67466,0.6742,0.67421,296.0,16.0,0.0,0.010374520178427441
2023-07-24 18:25:00,0.67421,0.67422,0.67384,0.67407,292.0,17.0,0.0,-0.03556978346894579
2023-07-24 18:30:00,0.67407,0.67465,0.67407,0.67464,208.0,16.0,0.0,-0.023713188979302684
2023-07-24 18:35:00,0.67464,0.67474,0.67428,0.67432,239.0,15.0,0.0,-0.05187260089221948
2023-07-24 18:40:00,0.67431,0.67436,0.67398,0.67398,173.0,17.0,0.0,-0.04594430364738969
2023-07-24 18:45:00,0.67397,0.67472,0.67392,0.67464,250.0,18.0,0.0,-0.03853393209136068
2023-07-24 18:50:00,0.67464,0.67477,0.6746,0.67471,219.0,18.0,0.0,-0.011856594489659568
2023-07-24 18:55:00,0.67471,0.67491,0.67457,0.67486,248.0,13.0,0.0,-0.03408770915774658
2023-07-24 19:00:00,0.67485,0.67491,0.67466,0.6748,313.0,18.0,0.0,-0.023713188979302684
2023-07-24 19:05:00,0.6748,0.6748,0.67426,0.67449,423.0,17.0,0.0,-0.008892445867244676
2023-07-24 19:10:00,0.67448,0.67462,0.67432,0.67457,268.0,15.0,0.0,0.0029641486223984377
2023-07-24 19:15:00,0.67457,0.67463,0.67434,0.67438,257.0,17.0,0.0,0.023713188979286228
2023-07-24 19:20:00,0.67439,0.67447,0.6743,0.67442,258.0,16.0,0.0,0.01630281742325722
2023-07-24 19:25:00,0.67441,0.67454,0.67433,0.67447,221.0,17.0,0.0,0.028159411912900334
2023-07-24 19:30:00,0.67446,0.6748,0.67444,0.67465,242.0,18.0,0.0,0.050390526580987346
2023-07-24 19:35:00,0.67464,0.67472,0.67444,0.6745,225.0,18.0,0.0,0.06224712107064692
2023-07-24 19:40:00,0.6745,0.67457,0.67437,0.67457,170.0,17.0,0.0,0.04890845226978813
2023-07-24 19:45:00,0.67458,0.67486,0.67443,0.67467,207.0,18.0,0.0,0.05335467520340224
2023-07-24 19:50:00,0.67467,0.67484,0.67459,0.67475,185.0,17.0,0.0,-0.01926696604568857
2023-07-24 19:55:00,0.67477,0.67498,0.67476,0.67489,278.0,17.0,0.0,-0.002964148622414892
2023-07-24 20:00:00,0.67489,0.67489,0.67467,0.67484,209.0,18.0,0.0,0.020749040356871334
2023-07-24 20:05:00,0.67485,0.67495,0.67469,0.67492,192.0,18.0,0.0,0.004446222933614111
