time,open,high,low,close,tick_volume,spread,real_volume,change
2023-07-24 18:00:00,0.86572,0.86617,0.86562,0.86608,275.0,17.0,0.0,0.2945525112045397
2023-07-24 18:05:00,0.86608,0.86642,0.86608,0.86635,233.0,21.0,0.0,0.2933974033174683
2023-07-24 18:10:00,0.86635,0.8664,0.86596,0.8662,312.0,20.0,0.0,0.2806912165596188
2023-07-24 18:15:00,0.86621,0.86657,0.86606,0.86656,330.0,18.0,0.0,0.25989927459224393
2023-07-24 18:20:00,0.86657,0.86696,0.86657,0.86676,182.0,20.0,0.0,0.27722589289839183
2023-07-24 18:25:00,0.86675,0.8669,0.86641,0.86648,232.0,21.0,0.0,0.26682992191469795
2023-07-24 18:30:00,0.86649,0.86649,0.86611,0.86618,207.0,19.0,0.0,0.2910871875433127
2023-07-24 18:35:00,0.86617,0.86646,0.86592,0.86642,181.0,20.0,0.0,0.2830014323337744
2023-07-24 18:40:00,0.86643,0.86679,0.86643,0.86678,135.0,22.0,0.0,0.28993207965622847
2023-07-24 18:45:00,0.86678,0.86687,0.86652,0.86657,152.0,21.0,0.0,0.28762186388208566
2023-07-24 18:50:00,0.86657,0.86658,0.86633,0.86644,151.0,22.0,0.0,0.2910871875433127
2023-07-24 18:55:00,0.86644,0.86655,0.86615,0.86638,179.0,12.0,0.0,0.27260546135008057
2023-07-24 19:00:00,0.86638,0.86681,0.86624,0.86655,251.0,18.0,0.0,0.3153444531719274
2023-07-24 19:05:00,0.86655,0.86709,0.86652,0.86699,304.0,20.0,0.0,0.3292057478168355
2023-07-24 19:10:00,0.86701,0.86714,0.86692,0.86696,196.0,18.0,0.0,0.2980178348657667
2023-07-24 19:15:00,0.86698,0.86721,0.86695,0.86711,211.0,21.0,0.0,0.2622094903663995
2023-07-24 19:20:00,0.86713,0.86725,0.86703,0.86719,244.0,20.0,0.0,0.28184632444670304
2023-07-24 19:25:00,0.86721,0.86735,0.86715,0.86723,214.0,20.0,0.0,0.2933974033174683
2023-07-24 19:30:00,0.86723,0.86726,0.86695,0.86705,98.0,20.0,0.0,0.3118791295106876
2023-07-24 19:35:00,0.86707,0.86724,0.86702,0.86712,90.0,18.0,0.0,0.2980178348657667
2023-07-24 19:40:00,0.86711,0.86755,0.86711,0.86743,138.0,21.0,0.0,0.3188097768331544
2023-07-24 19:45:00,0.86743,0.86756,0.86705,0.86728,210.0,19.0,0.0,0.3280506399297641
2023-07-24 19:50:00,0.86727,0.86734,0.86704,0.86734,182.0,21.0,0.0,0.31996488472022583
2023-07-24 19:55:00,0.86733,0.86742,0.86719,0.86741,148.0,19.0,0.0,0.33960171880052936
2023-07-24 20:00:00,0.86741,0.86796,0.86741,0.86788,193.0,19.0,0.0,0.34768747401006755
2023-07-24 20:05:00,0.86787,0.86794,0.86772,0.86772,202.0,21.0,0.0,0.34422215034884057
2023-07-24 20:10:00,0.86771,0.86771,0.86749,0.86755,107.0,20.0,0.0,0.3338261793651467
2023-07-24 20:15:00,0.86754,0.86762,0.86733,0.86758,104.0,16.0,0.0,0.33960171880052936
2023-07-24 20:20:00,0.86758,0.8677,0.8674,0.86768,110.0,21.0,0.0,0.3534630134454502
2023-07-24 20:25:00,0.86767,0.86797,0.86767,0.86791,81.0,21.0,0.0,0.36039366076790424
2023-07-24 20:30:00,0.86791,0.8687,0.86791,0.86867,190.0,17.0,0.0,0.38234071062236336
2023-07-24 20:35:00,0.86868,0.8687,0.8685,0.86857,226.0,20.0,0.0,0.40313265258975106
2023-07-24 20:40:00,0.86856,0.86856,0.86826,0.86827,131.0,22.0,0.0,0.4331654576537356
2023-07-24 20:45:00,0.86827,0.86833,0.86814,0.86826,105.0,22.0,0.0,0.46319826271773296
2023-07-24 20:50:00,0.86826,0.86827,0.86815,0.86815,99.0,23.0,0.0,0.4759044494755696
2023-07-24 20:55:00,0.86815,0.8682,0.86795,0.86797,72.0,22.0,0.0,0.41930416300881473
2023-07-24 21:00:00,0.86799,0.8682,0.86796,0.86812,100.0,21.0,0.0,0.44009610497620244
2023-07-24 21:05:00,0.86811,0.86816,0.86799,0.86803,55.0,22.0,0.0,0.42045927089589896
2023-07-24 21:10:00,0.86804,0.86829,0.86796,0.86824,137.0,22.0,0.0,0.4169939472346719
2023-07-24 21:15:00,0.86824,0.86824,0.86799,0.86817,64.0,19.0,0.0,0.4389409970891182
2023-07-24 21:20:00,0.86817,0.86837,0.8681,0.86823,63.0,22.0,0.0,-0.0034501794093263517
2023-07-24 21:25:00,0.86824,0.86832,0.86819,0.86821,53.0,23.0,0.0,-0.0391020333057327
2023-07-24 21:30:00,0.86821,0.86835,0.86816,0.86824,54.0,18.0,0.0,-0.02760143527462358
2023-07-24 21:35:00,0.86823,0.86823,0.86802,0.86808,60.0,22.0,0.0,-0.0851044254301181
2023-07-24 21:40:00,0.86808,0.86849,0.86799,0.86845,104.0,20.0,0.0,-0.049452571533711756
2023-07-24 21:45:00,0.86845,0.86867,0.86844,0.86857,57.0,20.0,0.0,-0.049452571533711756
2023-07-24 21:50:00,0.86854,0.86854,0.8683,0.8683,56.0,20.0,0.0,-0.04830251173060723
2023-07-24 21:55:00,0.8683,0.86839,0.86799,0.86799,116.0,20.0,0.0,-0.03795197350261541
