time,open,high,low,close,tick_volume
2017-10-18 22:00:00,1280.95,1290.37,1276.53,1289.83,145775
2017-10-19 22:00:00,1289.38,1290.97,1277.8,1280.21,137601
2017-10-21 22:00:00,1277.73,1278.28,1274.29,1275.01,6320
2017-10-22 22:00:00,1278.37,1283.16,1272.46,1281.96,128535
2017-10-23 22:00:00,1282.03,1283.53,1273.63,1276.51,133039
2017-10-24 22:00:00,1276.61,1279.93,1270.91,1277.2,145268
2017-10-25 22:00:00,1277.39,1282.44,1265.55,1266.87,144196
2017-10-26 22:00:00,1267.39,1273.96,1263.54,1273.82,133410
2017-10-28 22:00:00,1272.07,1273.97,1272.02,1272.42,4412
2017-10-29 22:00:00,1272.9,1278.71,1268.87,1276.14,120990
2017-10-30 22:00:00,1276.05,1278.02,1267.62,1270.92,122434
2017-10-31 22:00:00,1270.75,1280.75,1267.85,1274.37,150043
2017-11-01 22:00:00,1274.65,1284.03,1273.24,1275.83,150904
2017-11-02 22:00:00,1276.5,1280.21,1265.36,1269.77,112484
2017-11-04 22:00:00,1270.71,1270.81,1268.91,1270.53,3193
2017-11-05 22:00:00,1269.94,1282.81,1265.96,1281.71,133937
2017-11-06 22:00:00,1281.77,1281.77,1271.8,1275.1,118598
2017-11-07 22:00:00,1275.96,1287.0,1275.81,1281.2,103179
2017-11-08 22:00:00,1281.6,1288.4,1279.8,1284.8,36898
2017-11-09 22:00:00,1285.2,1286.9,1273.3,1275.6,29423
2017-11-11 22:00:00,1274.05,1275.67,1273.87,1275.25,2636
2017-11-12 22:00:00,1275.0,1279.6,1274.2,1278.1,24194
2017-11-13 22:00:00,1277.9,1283.5,1269.9,1280.1,28650
2017-11-14 22:00:00,1279.8,1289.4,1276.6,1278.0,29956
2017-11-15 22:00:00,1277.9,1281.6,1275.0,1278.4,22406
2017-11-16 22:00:00,1278.5,1296.8,1278.2,1294.0,24868
2017-11-18 22:00:00,1293.27,1294.82,1291.8,1293.58,2389
2017-11-19 22:00:00,1292.7,1294.7,1274.5,1276.5,32453
2017-11-20 22:00:00,1277.2,1284.6,1276.1,1280.3,22294
2017-11-21 22:00:00,1280.7,1294.6,1278.9,1291.9,32943
2017-11-22 22:00:00,1291.8,1293.4,1286.9,1291.0,13126
2017-11-23 22:00:00,1291.4,1293.1,1285.6,1288.4,21985
2017-11-25 22:00:00,1289.17,1289.27,1287.26,1287.37,986
2017-11-26 22:00:00,1288.8,1299.1,1286.6,1294.3,22446
2017-11-27 22:00:00,1293.6,1297.3,1290.6,1293.7,26831
2017-11-28 22:00:00,1293.6,1296.6,1281.9,1283.5,36865
2017-11-29 22:00:00,1283.7,1285.2,1270.2,1274.7,30796
2017-11-30 22:00:00,1274.4,1289.1,1271.6,1280.2,41211
2017-12-02 22:00:00,1274.57,1275.52,1272.49,1273.88,3921
2017-12-03 22:00:00,1273.1,1277.0,1270.9,1275.8,25115
2017-12-04 22:00:00,1276.3,1276.9,1260.9,1265.7,27946
